"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"1281" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1282" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"1283" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1284" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1285" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1286" "high" "high" "<18" "<18" "<18" "<18" "open"
"1287" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1288" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1289" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1290" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1291" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1292" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1293" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1294" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1295" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1296" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1297" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1298" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1299" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1300" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1301" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1302" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1303" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1304" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1305" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1306" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1307" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1308" "low" "high" "18-24" "18-24" ">24" "18-24" "closed"
"1309" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1310" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1311" "high" "high" "18-24" ">24" ">24" ">24" "open"
"1312" "high" "low" "18-24" ">24" ">24" ">24" "open"
"1313" "high" "high" "<18" "<18" "<18" "<18" "closed"
"1314" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1315" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1316" "high" "high" "<18" "<18" "<18" "<18" "closed"
"1317" "high" "high" "18-24" ">24" ">24" "18-24" "open"
"1318" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1319" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1320" "high" "low" "18-24" "18-24" ">24" "18-24" "closed"
"1321" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1322" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"1323" "high" "low" "<18" "18-24" ">24" ">24" "open"
"1324" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1325" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1326" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1327" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1328" "low" "high" ">24" ">24" "18-24" "18-24" "open"
"1329" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"1330" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1331" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1332" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1333" "low" "low" "<18" "18-24" "18-24" ">24" "closed"
"1334" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1335" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1336" "high" "low" "<18" ">24" "18-24" "18-24" "open"
"1337" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1338" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1339" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1340" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1341" "high" "low" "<18" "18-24" "18-24" ">24" "open"
"1342" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1343" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1344" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1345" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1346" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1347" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1348" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1349" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1350" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1351" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1352" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1353" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1354" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1355" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1356" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1357" "low" "low" "<18" "<18" "<18" "<18" "open"
"1358" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1359" "high" "high" "<18" "18-24" ">24" "18-24" "open"
"1360" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1361" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1362" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1363" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1364" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1365" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1366" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1367" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1368" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1369" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1370" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1371" "high" "low" ">24" "18-24" ">24" "18-24" "open"
"1372" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1373" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1374" "low" "low" "<18" "<18" "<18" "<18" "open"
"1375" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1376" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1377" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1378" "high" "high" "<18" "<18" "<18" "<18" "closed"
"1379" "low" "low" ">24" ">24" "18-24" ">24" "open"
"1380" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1381" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1382" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1383" "low" "low" "18-24" ">24" ">24" ">24" "open"
"1384" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1385" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"1386" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1387" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1388" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1389" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1390" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"1391" "high" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1392" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1393" "low" "high" "<18" "<18" "18-24" "18-24" "closed"
"1394" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1395" "high" "high" "18-24" "18-24" "<18" "18-24" "open"
"1396" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1397" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"1398" "low" "low" "<18" ">24" "18-24" ">24" "closed"
"1399" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1400" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1401" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1402" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1403" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1404" "low" "high" "18-24" "18-24" ">24" "18-24" "closed"
"1405" "low" "high" "18-24" "18-24" "<18" ">24" "open"
"1406" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1407" "low" "low" "<18" ">24" "18-24" "18-24" "open"
"1408" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1409" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1410" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1411" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1412" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1413" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"1414" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1415" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1416" "high" "high" "18-24" "<18" "<18" "<18" "open"
"1417" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1418" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1419" "low" "low" ">24" ">24" "<18" "<18" "open"
"1420" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1421" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1422" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1423" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1424" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1425" "high" "low" "<18" "18-24" ">24" "18-24" "open"
"1426" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1427" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1428" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1429" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1430" "high" "high" ">24" "18-24" "18-24" "18-24" "open"
"1431" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1432" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1433" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1434" "high" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1435" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1436" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1437" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1438" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1439" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1440" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1441" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1442" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1443" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1444" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1445" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1446" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1447" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1448" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1449" "high" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1450" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1451" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1452" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1453" "low" "low" "<18" "<18" "<18" "<18" "closed"
"1454" "low" "high" "<18" "<18" "18-24" "18-24" "closed"
"1455" "low" "low" "<18" "18-24" "<18" "<18" "closed"
"1456" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1457" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1458" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1459" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1460" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1461" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1462" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1463" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1464" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1465" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1466" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1467" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1468" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1469" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1470" "high" "high" "<18" "<18" "<18" "<18" "closed"
"1471" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1472" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1473" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1474" "low" "low" ">24" "18-24" "<18" "18-24" "open"
"1475" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1476" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1477" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1478" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1479" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1480" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1481" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1482" "low" "low" ">24" "18-24" "18-24" "<18" "open"
"1483" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1484" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1485" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1486" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1487" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1488" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1489" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1490" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1491" "low" "low" ">24" ">24" "<18" "<18" "closed"
"1492" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1493" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1494" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1495" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1496" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1497" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1498" "high" "high" "<18" "18-24" ">24" ">24" "closed"
"1499" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1500" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1501" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1502" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1503" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1504" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1505" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1506" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1507" "high" "high" "18-24" ">24" "<18" "18-24" "closed"
"1508" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1509" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1510" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1511" "high" "low" "<18" "18-24" "<18" "18-24" "open"
"1512" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1513" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1514" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1515" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1516" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1517" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1518" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1519" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1520" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1521" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1522" "low" "low" "<18" "<18" "<18" "<18" "open"
"1523" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1524" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"1525" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1526" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1527" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1528" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1529" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1530" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1531" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1532" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1533" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1534" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1535" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1536" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1537" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1538" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1539" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1540" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1541" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1542" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1543" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1544" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1545" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1546" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1547" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1548" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1549" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1550" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1551" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1552" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1553" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1554" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1555" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1556" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1557" "high" "high" "<18" "<18" "18-24" "18-24" "open"
"1558" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1559" "low" "low" "<18" "<18" "18-24" "<18" "open"
"1560" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1561" "high" "high" "<18" "18-24" "<18" "18-24" "open"
"1562" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1563" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1564" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1565" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1566" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1567" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1568" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1569" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1570" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1571" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1572" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1573" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1574" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1575" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1576" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1577" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1578" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1579" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1580" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"1581" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1582" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1583" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1584" "low" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1585" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1586" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1587" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1588" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1589" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1590" "high" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1591" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1592" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1593" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1594" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1595" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1596" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1597" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1598" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1599" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1600" "low" "high" "<18" "<18" "18-24" "<18" "open"
"1601" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1602" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1603" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1604" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1605" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1606" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1607" "high" "high" "18-24" "<18" "18-24" "18-24" "open"
"1608" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1609" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1610" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1611" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"1612" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1613" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1614" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1615" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1616" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1617" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1618" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1619" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1620" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1621" "high" "low" "<18" "<18" "18-24" "<18" "closed"
"1622" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1623" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1624" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1625" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1626" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1627" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1628" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1629" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1630" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1631" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1632" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1633" "high" "high" "18-24" "<18" "18-24" "<18" "open"
"1634" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1635" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1636" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"1637" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1638" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1639" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1640" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1641" "high" "low" ">24" ">24" ">24" ">24" "open"
"1642" "low" "low" "<18" "<18" "18-24" "<18" "open"
"1643" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1644" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1645" "high" "high" "18-24" "<18" "<18" "<18" "open"
"1646" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1647" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1648" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1649" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1650" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1651" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"1652" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1653" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1654" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1655" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1656" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1657" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1658" "high" "high" ">24" ">24" "<18" "<18" "closed"
"1659" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1660" "low" "high" ">24" "18-24" ">24" ">24" "closed"
"1661" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1662" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1663" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1664" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1665" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1666" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1667" "high" "high" "18-24" "<18" "<18" "<18" "open"
"1668" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1669" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1670" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1671" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1672" "high" "low" ">24" "18-24" "18-24" "18-24" "open"
"1673" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1674" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1675" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1676" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1677" "high" "high" "18-24" "<18" "18-24" "<18" "open"
"1678" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1679" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1680" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"1681" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"1682" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1683" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1684" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1685" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1686" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1687" "low" "high" "<18" "18-24" "<18" "18-24" "open"
"1688" "low" "high" ">24" ">24" "18-24" "<18" "closed"
"1689" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1690" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1691" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1692" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1693" "low" "low" ">24" ">24" "18-24" "<18" "closed"
"1694" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1695" "low" "high" "18-24" ">24" "<18" "<18" "closed"
"1696" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1697" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1698" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
